Mais de 100 anos,917,2.317
95 a 99 anos,4.534,12.323
90 a 94 anos,20.758,45.806
85 a 89 anos,63.558,121.03
80 a 84 anos,150.452,246.113
75 a 79 anos,246.532,354.796
70 a 74 anos,371.655,484.55
65 a 69 anos,499.18,609.906
60 a 64 anos,705.94,831.069
55 a 59 anos,930.303,1.057.688
50 a 54 anos,1.149.501,1.286.603
45 a 49 anos,1.308.852,1.444.270
40 a 44 anos,1.444.231,1.536.444
35 a 39 anos,1.549.270,1.634.852
30 a 34 anos,1.741.346,1.815.101
25 a 29 anos,1.881.495,1.908.293
20 a 24 anos,1.835.222,1.802.466
15 a 19 anos,1.667.482,1.636.426
10 a 14 anos,1.687.826,1.637.087
5 a 9 anos,1.457.203,1.403.430
0 a 4 anos,1.361.616,1.313.756